title,channel,views,likes,comments
"Anitta, Melly - Ternura / Luedji Luna - Bemba / Liniker - Caminhador (Official Music Video)",Anitta,235846,39468,3382
"MOTOR CITY | Teaser Trailer ft. Alan Ritchson, Shailene Woodley | Independent Film Company",Independent Film Company,366154,1384,87
O SITE INFANTIL QUE ESCONDE UM SEGREDO BIZARRO!,Jazzghost,589000,50539,4525
"DOMINGUINHO VOL.2 - João Gomes, Mestrinho e Jota.pê (Completo)",João Gomes Cantor,114889,13238,670
FIM DO HOMELANDER! TRAILER COM CENAS DO FINAL DE THE BOYS EXPLICADO!!,A Gente Faz Agora,32723,2759,295
DEI UM CELULAR PRA ELE… E ELE USOU ISSO PRA ME ROUBAR R$40 MIL 😭💔,Canal Clash War,267942,19068,6187
"5. COMEDINHA FICOU BRAVO 2 - MC Negão Original, MC Meno K (DJ Japa NK)",MC Negão Original,22618,1532,42
LEGO® Batman™: O Legado do Cavaleiro das Trevas – Trailer oficial de lançamento,Warner Play,32603,4940,281
10 Segundos VS 1 Hora Construindo Vilas do Minecraft! 👾,ProbIems,335062,11201,1041
Harry Styles - Dance No More (Official Video),HarryStylesVEVO,1358887,157843,7804
Path of Exile 2: Return of the Ancients Official Trailer,Path of Exile,289498,12963,1607
SOBREVIVA FUGINDO DO 67 NESSE JOGO DO ROBLOX,Amy Scarletona,58360,3670,390
[MÃE VS. FILHO] - Mussa Mãe Vs. Mussa - Batalha de Rima (Especial dia das Mães),MUSSA,52914,3442,252
"Isa e Roberto discutem o trailer de ""A Odisseia"" de Chris Nolan",Isabela Boscov,6189,1280,129
CRIAMOS THUMBS BASEADAS EM TÍTULOS NO GARTICPHONE! 😂,Mundo Torajo Jovem,123485,13669,1407
Joelma - Tchau Pra Você/ Se Quebrou/ Ouvindo O Rádio/ Pra Todo Mundo Ver (Ao Vivo em Brasília),Joelma Oficial,55013,7224,1792
A MÁQUINA DO FRANCÊS VAI DERROTAR O CAPITÃO PÁTRIA? - THE BOYS EPS 7 E 8 TEASER EXPLICADO!,Good Nerd,28853,2441,297
O NOVO POPPY PLAYTIME? - DARK PALS: THE 1ST FLOOR,alanzoka,175311,20737,572
Displicente,Heitor Santos - Topic,9973,140,1
ANÁLISE SINCERA DO TRAILER DE A ODISSEIA,Debescreve,8822,2011,150
